startPos_x,startPos_y,startPos_z,hitPos_z,hitPos_y,hitPos_z,rayDir_x,rayDir_y,rayDir_z,cross_x,cross_y,cross_z
-0.006690264,0.990239,-10.00734,-0.1014444,-3.780193,-0.1014444,0.001845599,-0.3761327,0.926564,0.6941772,-0.009816469,-0.005367647
-0.004407894,0.9851281,-10.00144,-0.1732311,-3.836185,-0.1732311,0.01299999,-0.4100383,0.9119757,0.3669782,-0.1007989,-0.05055194
-0.003670391,0.9863213,-10.00077,-0.1579721,-3.82152,-0.1579721,0.01156085,-0.4014813,0.9157943,0.4512923,-0.08980488,-0.04506723
-0.003808554,0.9875598,-10.0031,-0.1277977,-3.797746,-0.1277977,0.004087103,-0.3866801,0.9222049,0.5944505,-0.02989714,-0.01517039
-0.003547766,0.9879434,-10.0061,-0.1051313,-3.785384,-0.1051313,0.00381862,-0.3776369,0.9259459,0.6808722,-0.02793955,-0.01420277
-0.00305888,0.9892056,-10.00784,-0.08141199,-3.77509,-0.08141199,0.007861677,-0.3697568,0.9290953,0.75612,-0.06066918,-0.03054284
-0.002850264,0.9896448,-10.007,-0.0766468,-3.773395,-0.0766468,0.01095435,-0.3685195,0.9295555,0.7679808,-0.08557662,-0.04297687
-0.002749489,0.9896742,-10.0054,-0.07433049,-3.772948,-0.07433049,0.01252376,-0.3680115,0.9297369,0.773236,-0.09819925,-0.04928521
-0.003117215,0.9894373,-10.00537,-0.08085026,-3.774909,-0.08085026,0.01036752,-0.3698106,0.9290493,0.7561204,-0.08066786,-0.04054782
-0.0034342,0.9896751,-10.00602,-0.07461412,-3.772837,-0.07461412,0.01123165,-0.3679695,0.9297701,0.773586,-0.08735288,-0.04391607
-0.003440335,0.9904654,-10.00657,-0.0542967,-3.767143,-0.0542967,0.01350653,-0.3625669,0.9318599,0.8250604,-0.1055584,-0.0530291
-0.003589101,0.991066,-10.00674,-0.03552186,-3.763013,-0.03552186,0.01333537,-0.358108,0.9335849,0.867564,-0.1040743,-0.05231351
-0.003715011,0.9911668,-10.00677,-0.0317086,-3.76202,-0.0317086,0.01166886,-0.3571432,0.9339768,0.8768399,-0.09063845,-0.04561423
-0.003455747,0.9911969,-10.00653,-0.03217295,-3.762107,-0.03217295,0.01205833,-0.3572811,0.9339191,0.8755522,-0.09394766,-0.04724545
-0.003207847,0.9913244,-10.00645,-0.0302521,-3.761951,-0.0302521,0.01269169,-0.356942,0.9340403,0.878828,-0.09920205,-0.04985138
-0.003315046,0.9918488,-10.00644,-0.01302397,-3.759851,-0.01302397,0.0120777,-0.3535784,0.9353269,0.9109354,-0.09420326,-0.04737407
-0.003551438,0.9924055,-10.00722,0.01449865,-3.759614,0.01449865,0.01307404,-0.3494516,0.9368632,0.9498863,-0.102006,-0.05130419
-0.003900688,0.9929171,-10.00786,0.06705189,-3.767957,0.06705189,0.01312659,-0.3451555,0.9384537,0.9904468,-0.1021668,-0.05142995
0.05140473,1.036895,-10.04592,-5.051233,1.133623,-5.051233,0.6222105,0.07916783,0.7788367,0.3200831,0.5716188,-0.3138179
0.05574644,1.039945,-10.06083,-5.100853,1.18131,-5.100853,0.6594777,0.1152684,0.7428341,0.4667181,0.2682049,-0.4559641
0.05426332,1.040012,-10.06556,-5.066374,1.184359,-5.066374,0.6392639,0.1159079,0.7602019,0.4697123,0.417223,-0.4586013
0.05220503,1.040196,-10.06329,-5.021954,1.183758,-5.021954,0.6175839,0.1127772,0.7783775,0.456803,0.5793951,-0.4463858
0.05119267,1.039495,-10.05874,-5.02733,1.165715,-5.02733,0.6157519,0.1000721,0.7815595,0.4048548,0.6022878,-0.3960828
0.0501649,1.03728,-10.0539,-5.045123,1.128951,-5.045123,0.6175976,0.0741344,0.7829925,0.2995454,0.6035242,-0.2934133
0.04865973,1.035075,-10.0501,-5.04179,1.103542,-5.04179,0.6131774,0.05560938,0.7879854,0.2245582,0.6439822,-0.2201887
0.04740753,1.034396,-10.04851,-5.038118,1.096881,-5.038118,0.6110109,0.0507754,0.7899921,0.2050418,0.6622527,-0.2011525
0.04625273,1.033907,-10.04876,-5.041277,1.08729,-5.041277,0.6117193,0.0435629,0.7898746,0.1759747,0.6595304,-0.172658
0.04485055,1.034382,-10.04886,-5.030455,1.091363,-5.030455,0.6071323,0.04619431,0.7932569,0.1866212,0.6923022,-0.183149
0.04366019,1.03448,-10.0495,-5.021344,1.089127,-5.021344,0.6029347,0.04402951,0.7965746,0.1778571,0.7228596,-0.1745767
