startPos_x,startPos_y,startPos_z,hitPos_z,hitPos_y,hitPos_z,rayDir_x,rayDir_y,rayDir_z,cross_x,cross_y,cross_z
0.5847051,1.105531,-9.813327,4.939454,-3.702224,4.939454,-0.08760911,-0.267127,0.9596707,0.6729949,0.5893252,0.2254786
0.5828738,1.104802,-9.813008,4.883861,-3.694864,4.883861,-0.07119205,-0.2698039,0.9602799,0.6437511,0.3958771,0.1589527
0.5797552,1.104495,-9.812462,4.892878,-3.688556,4.892878,-0.06956712,-0.2669809,0.9611876,0.6809773,0.3785653,0.1544374
0.5769648,1.102463,-9.812981,4.86156,-3.724977,4.86156,-0.07864642,-0.2803536,0.9566695,0.5042038,0.4904187,0.1851678
0.5749876,1.101036,-9.81281,4.860692,-3.756812,4.860692,-0.08992381,-0.2895861,0.9529185,0.3798914,0.6272861,0.2264775
0.5733165,1.101257,-9.811187,4.90953,-3.76092,4.90953,-0.1004018,-0.2860837,0.95293,0.4219561,0.7525911,0.2703968
0.5740012,1.100132,-9.809341,4.951452,-3.795551,4.951452,-0.109832,-0.2921153,0.9500556,0.3393168,0.8649657,0.3051796
0.575713,1.100505,-9.809235,4.926039,-3.778357,4.926039,-0.105693,-0.2894707,0.9513336,0.3759942,0.8140296,0.2894649
0.5792692,1.100301,-9.810699,4.898057,-3.787608,4.898057,-0.1045603,-0.2949254,0.9497821,0.3044624,0.7987454,0.2815435
0.5810952,1.097389,-9.809956,4.802824,-3.838051,4.802824,-0.08728081,-0.3192861,0.9436305,-0.008425713,0.5954293,0.2006897
0.5827287,1.097432,-9.808757,4.779728,-3.82401,4.779728,-0.07066815,-0.3177954,0.9455221,0.01717806,0.3964196,0.1345228
0.5829393,1.096785,-9.807331,4.768728,-3.826779,4.768728,-0.05994346,-0.3198971,0.9455541,-0.007342339,0.2691216,0.090583
0.5815058,1.09607,-9.806698,4.766615,-3.839509,4.766615,-0.06182094,-0.3237971,0.9441047,-0.05909348,0.2930887,0.09665036
0.580968,1.096498,-9.806915,4.768581,-3.828646,4.768581,-0.06021371,-0.3203501,0.9453836,-0.01311111,0.2738733,0.09196883
0.5810518,1.096747,-9.807117,4.771397,-3.823628,4.771397,-0.06185741,-0.31857,0.9458789,0.009801388,0.2930605,0.09934315
0.5809969,1.096543,-9.807293,4.775836,-3.825786,4.775836,-0.06738302,-0.3185912,0.9454941,0.007976055,0.3587443,0.12145
0.5811508,1.096951,-9.807432,4.78555,-3.817597,4.78555,-0.07305782,-0.3150027,0.9462747,0.05368376,0.4254956,0.1457867
0.5811643,1.097881,-9.807136,4.797224,-3.80232,4.797224,-0.07661973,-0.3092776,0.9478801,0.1280026,0.4669147,0.1626933
0.5807688,1.098379,-9.807437,4.810102,-3.799948,4.810102,-0.08311033,-0.3072437,0.9479947,0.1524415,0.544067,0.1896958
0.5801006,1.099394,-9.807625,4.837099,-3.779956,4.837099,-0.08903053,-0.2985328,0.9502378,0.2646127,0.6136777,0.2175892
0.5784429,1.10018,-9.808165,4.894498,-3.772907,4.894498,-0.1010653,-0.2908096,0.9514282,0.3607173,0.756995,0.2696971
0.5776337,1.100315,-9.808852,4.905626,-3.777907,4.905626,-0.1036184,-0.2912788,0.9510099,0.3532214,0.7881054,0.2798695
0.5780508,1.100513,-9.809096,4.880022,-3.765471,4.880022,-0.09689032,-0.2901134,0.9520748,0.3712716,0.7076083,0.2534036
0.5782589,1.100554,-9.808968,4.86949,-3.765882,4.86949,-0.09476539,-0.2913072,0.9519242,0.3565378,0.6823348,0.2443015
0.5797712,1.106842,-9.809262,-5.145085,0.9045342,-5.145085,-0.1003614,-0.2382297,0.9660094,-0.9157145,-0.06192029,-0.1104064
0.5793141,1.117919,-9.812677,-5.222268,1.006305,-5.222268,-0.1132931,-0.1467637,0.9826623,-0.564026,-0.01922166,-0.06789849
0.5791918,1.124489,-9.819776,-5.238261,1.051159,-5.238261,-0.1291904,-0.09911242,0.9866542,-0.3817336,0.04096556,-0.04586829
0.5785945,1.127652,-9.826848,-5.243861,1.072933,-5.243861,-0.1460812,-0.07440279,0.9864707,-0.2870085,0.1074762,-0.03439536
0.5777416,1.129878,-9.832465,-5.246589,1.088498,-5.246589,-0.1599618,-0.05638243,0.9855117,-0.2177828,0.1629111,-0.02602873
0.5771929,1.131908,-9.835252,-5.247952,1.100037,-5.247952,-0.1639487,-0.04344616,0.9855117,-0.1678921,0.1791222,-0.02003376
0.5765439,1.132619,-9.835682,-5.248344,1.104373,-5.248344,-0.1652984,-0.03871845,0.9854833,-0.1497785,0.1849249,-0.01785737
0.5757985,1.132091,-9.834625,-5.247888,1.1003,-5.247888,-0.1659514,-0.04365269,0.9851673,-0.1689034,0.1880442,-0.02011956
0.5756957,1.131548,-9.833582,-5.247576,1.097165,-5.247576,-0.1637142,-0.04719199,0.9853784,-0.1825431,0.1792382,-0.02174422
0.5761715,1.131143,-9.833038,-5.247196,1.093832,-5.247196,-0.1598623,-0.05112525,0.9858145,-0.19767,0.1636979,-0.02356516
0.5767608,1.131298,-9.832936,-5.247383,1.095248,-5.247383,-0.1562612,-0.04944721,0.9864773,-0.1911799,0.148991,-0.02281532
0.5770158,1.131384,-9.833188,-5.247381,1.095345,-5.247381,-0.1555412,-0.04942857,0.986592,-0.1911141,0.1459844,-0.02281623
0.5766678,1.131439,-9.833393,-5.247592,1.096807,-5.247592,-0.1573157,-0.04748287,0.9864061,-0.1835861,0.153232,-0.02190283
0.5761476,1.131667,-9.83341,-5.247742,1.098101,-5.247742,-0.1578223,-0.04600704,0.9863952,-0.1778638,0.1556085,-0.02120021
0.5758755,1.131597,-9.833264,-5.247707,1.097885,-5.247707,-0.1564965,-0.0463142,0.9865921,-0.1791161,0.1505878,-0.02134286
0.5756773,1.131372,-9.83312,-5.247529,1.096361,-5.247529,-0.1559301,-0.04806178,0.9865981,-0.1858501,0.1485333,-0.02213753
0.5755349,1.13113,-9.833067,-5.247334,1.094733,-5.247334,-0.1564638,-0.04991842,0.9864214,-0.1930099,0.1507842,-0.02298426
0.5754973,1.13122,-9.833303,-5.247434,1.095464,-5.247434,-0.1585847,-0.04898793,0.9861293,-0.1893924,0.1591787,-0.02254969
0.5757676,1.131425,-9.833437,-5.247511,1.096255,-5.247511,-0.159574,-0.04821411,0.9860079,-0.1864286,0.1628634,-0.02220756
0.5761471,1.131198,-9.833323,-5.247295,1.094558,-5.247295,-0.1584895,-0.05026139,0.9860805,-0.1943701,0.1583228,-0.02317062
0.5766693,1.131062,-9.833282,-5.247216,1.093866,-5.247216,-0.1570157,-0.05099163,0.9862788,-0.197165,0.1521156,-0.02352415
0.5768617,1.131009,-9.833055,-5.247075,1.092873,-5.247075,-0.1567775,-0.05225339,0.9862507,-0.2020218,0.1510274,-0.02411232
