frameIndex,timestamp,triangleIndex,hitID,agentID,localPositionOfHitPosition_x,localPositionOfHitPosition_y,localPositionOfHitPosition_z,localPositionOfHitTarget_x,localPositionOfHitTarget_y,localPositionOfHitTarget_z,localPosition_x,localPosition_y,localPosition_z,raycastDirection_x,raycastDirection_y,raycastDirection_z
0,0,-1,GazeBox,GazeBox,0.2307309,-0.02653525,-0.04999995,0.5,0,0,0.7307309,-0.02653525,-0.04999995,0,0,1
1,0.1244392,-1,GazeBox,GazeBox,0.1507113,0.05172747,-0.04999998,0,0,-0.5,0.1507113,0.05172747,-0.55,0,0,1
2,0.2366982,-1,GazeBox,GazeBox,0.04415077,0.06066879,-0.04999998,0,0,-0.5,0.04415077,0.06066879,-0.55,0,0,1
3,0.3487892,-1,GazeBox,GazeBox,-0.1221699,0.04280319,-0.04999998,0,0,-0.5,-0.1221699,0.04280319,-0.55,0,0,1
4,0.462513,-1,GazeBox,GazeBox,-0.2574548,0.03137947,-0.04999998,0,0,-0.5,-0.2574548,0.03137947,-0.55,0,0,1
5,0.5746231,-1,GazeBox,GazeBox,-0.1588639,0.03068628,-0.04999998,0,0,-0.5,-0.1588639,0.03068628,-0.55,0,0,1
6,0.6888542,-1,GazeBox,GazeBox,0.2232241,0.03830557,-0.04999998,0,0,-0.5,0.2232241,0.03830557,-0.55,0,0,1
7,0.7994041,-1,GazeBox,GazeBox,0.254209,-0.03005187,-0.04999995,0.5,0,0,0.754209,-0.03005187,-0.04999995,0,0,1
8,0.9096451,-1,GazeBox,GazeBox,0.2015305,-0.009391719,-0.04999995,0.5,0,0,0.7015305,-0.009391719,-0.04999995,0,0,1
9,1.030106,-1,GazeBox,GazeBox,0.4210871,-0.007715917,-0.04999998,0,0,-0.5,0.4210871,-0.007715917,-0.55,0,0,1
10,1.135204,-1,GazeBox,GazeBox,0.1297849,-0.03333191,-0.04999998,0,0,-0.5,0.1297849,-0.03333191,-0.55,0,0,1
11,1.246708,-1,GazeBox,GazeBox,-0.2823307,-0.05386074,-0.04999998,0,0,-0.5,-0.2823307,-0.05386074,-0.55,0,0,1
12,1.367928,-1,GazeBox,GazeBox,-0.1561667,0.05082741,-0.04999998,-0.5,0,0,-0.6561667,0.05082741,-0.04999998,0,0,1
13,1.471008,-1,GazeBox,GazeBox,-0.05197974,0.05198233,-0.05000004,-0.5,0,0,-0.5519797,0.05198233,-0.05000004,0,0,1
14,1.582272,-1,GazeBox,GazeBox,0.008475249,0.04570689,-0.05000005,-0.5,0,0,-0.4915248,0.04570689,-0.05000005,0,0,1
15,1.69054,-1,GazeBox,GazeBox,0.009506275,0.04790071,-0.05000005,-0.5,0,0,-0.4904937,0.04790071,-0.05000005,0,0,1
16,1.802502,-1,GazeBox,GazeBox,-0.03716607,0.06581797,-0.04999999,-0.5,0,0,-0.5371661,0.06581797,-0.04999999,0,0,1
17,1.914986,-1,GazeBox,GazeBox,-0.07107186,0.07641788,-0.04999998,-0.5,0,0,-0.5710719,0.07641788,-0.04999998,0,0,1
18,2.023323,-1,GazeBox,GazeBox,-0.2183161,0.06397774,-0.04999995,-0.5,0,0,-0.7183161,0.06397774,-0.04999995,0,0,1
19,2.126297,-1,GazeBox,GazeBox,-0.224619,-0.06482501,-0.04999998,0,0,-0.5,-0.224619,-0.06482501,-0.55,0,0,1
20,2.232765,-1,GazeBox,GazeBox,0.2714588,-0.06241369,-0.04999998,0,0,-0.5,0.2714588,-0.06241369,-0.55,0,0,1
21,2.340641,-1,GazeBox,GazeBox,0.2445667,0.06776104,-0.04999997,0.5,0,0,0.7445667,0.06776104,-0.04999997,0,0,1
22,2.446781,-1,GazeBox,GazeBox,0.0502696,0.04349456,-0.05000004,0.5,0,0,0.5502696,0.04349456,-0.05000004,0,0,1
23,2.553619,-1,GazeBox,GazeBox,-0.05900769,0.02966031,-0.05000006,0.5,0,0,0.4409923,0.02966031,-0.05000006,0,0,1
24,2.670349,-1,GazeBox,GazeBox,-0.07177431,0.02112415,-0.05000006,0.5,0,0,0.4282257,0.02112415,-0.05000006,0,0,1
25,2.779114,-1,GazeBox,GazeBox,0.01310589,0.02444321,-0.04999999,0.5,0,0,0.5131059,0.02444321,-0.04999999,0,0,1
26,2.885029,-1,GazeBox,GazeBox,0.3436922,0.07031691,-0.04999995,0.5,0,0,0.8436922,0.07031691,-0.04999995,0,0,1
27,2.99025,-1,GazeBox,GazeBox,0.0622612,-0.09096729,-0.04999998,0,0,-0.5,0.0622612,-0.09096729,-0.55,0,0,1
28,3.094677,-1,GazeBox,GazeBox,-0.3343882,0.09698639,-0.04999995,-0.5,0,0,-0.8343881,0.09698639,-0.04999995,0,0,1
29,3.205921,-1,GazeBox,GazeBox,-0.04647559,0.1037846,-0.05000005,-0.5,0,0,-0.5464756,0.1037846,-0.05000005,0,0,1
30,3.311611,-1,GazeBox,GazeBox,0.01347885,0.1012522,-0.05000005,-0.5,0,0,-0.4865212,0.1012522,-0.05000005,0,0,1
31,3.418194,-1,GazeBox,GazeBox,0.01643297,0.1018885,-0.05000005,-0.5,0,0,-0.483567,0.1018885,-0.05000005,0,0,1
32,3.532627,-1,GazeBox,GazeBox,0.03128822,0.100423,-0.04999999,-0.5,0,0,-0.4687118,0.100423,-0.04999999,0,0,1
33,3.63945,-1,GazeBox,GazeBox,0.02707812,0.0981819,-0.05000005,-0.5,0,0,-0.4729219,0.0981819,-0.05000005,0,0,1
34,3.739616,-1,GazeBox,GazeBox,0.0169875,0.09670418,-0.05000005,-0.5,0,0,-0.4830125,0.09670418,-0.05000005,0,0,1
35,3.849052,-1,GazeBox,GazeBox,0.001623126,0.08837433,-0.05000005,-0.5,0,0,-0.4983769,0.08837433,-0.05000005,0,0,1
36,3.962791,-1,GazeBox,GazeBox,-0.05135862,0.06998479,-0.04999998,-0.5,0,0,-0.5513586,0.06998479,-0.04999998,0,0,1
37,4.074921,-1,GazeBox,GazeBox,-0.1949521,0.03666449,-0.04999997,-0.5,0,0,-0.6949521,0.03666449,-0.04999997,0,0,1
38,4.19408,-1,GazeBox,GazeBox,-0.3929566,-0.01808429,-0.04999998,0,0,-0.5,-0.3929566,-0.01808429,-0.55,0,0,1
39,4.308033,-1,GazeBox,GazeBox,-0.1522122,0.004388559,-0.04999998,0,0,-0.5,-0.1522122,0.004388559,-0.55,0,0,1
40,4.421677,-1,GazeBox,GazeBox,0.1152422,0.01322514,-0.04999998,0,0,-0.5,0.1152422,0.01322514,-0.55,0,0,1
41,4.530659,-1,GazeBox,GazeBox,0.3879713,0.0065952,-0.04999998,0,0,-0.5,0.3879713,0.0065952,-0.55,0,0,1
42,4.635689,-1,GazeBox,GazeBox,0.160647,0.02190067,-0.04999997,0.5,0,0,0.660647,0.02190067,-0.04999997,0,0,1
43,4.74287,-1,GazeBox,GazeBox,0.09342671,0.03218441,-0.05000004,0.5,0,0,0.5934267,0.03218441,-0.05000004,0,0,1
44,4.852966,-1,GazeBox,GazeBox,0.2029927,0.04236507,-0.04999994,0.5,0,0,0.7029927,0.04236507,-0.04999994,0,0,1
45,4.959728,-1,GazeBox,GazeBox,0.3769567,-0.05771918,-0.04999998,0,0,-0.5,0.3769567,-0.05771918,-0.55,0,0,1
46,5.07502,-1,GazeBox,GazeBox,-0.09690213,-0.03417181,-0.04999998,0,0,-0.5,-0.09690213,-0.03417181,-0.55,0,0,1
47,5.189537,-1,GazeBox,GazeBox,-0.4436524,0.07333814,-0.04999992,-0.5,0,0,-0.9436524,0.07333814,-0.04999992,0,0,1
48,5.308681,-1,GazeBox,GazeBox,-0.1650848,0.03872416,-0.04999998,-0.5,0,0,-0.6650848,0.03872416,-0.04999998,0,0,1
49,5.412411,-1,GazeBox,GazeBox,-0.08028011,0.00933131,-0.04999997,-0.5,0,0,-0.5802801,0.00933131,-0.04999997,0,0,1
50,5.525635,-1,GazeBox,GazeBox,-0.06167123,0.02147662,-0.04999999,-0.5,0,0,-0.5616713,0.02147662,-0.04999999,0,0,1
51,5.637383,-1,GazeBox,GazeBox,-0.08864012,0.01220661,-0.04999998,-0.5,0,0,-0.5886401,0.01220661,-0.04999998,0,0,1
52,5.747551,-1,GazeBox,GazeBox,-0.1183789,0.02652811,-0.04999998,-0.5,0,0,-0.6183789,0.02652811,-0.04999998,0,0,1
53,5.859482,-1,GazeBox,GazeBox,-0.1271929,0.03664769,-0.05000004,-0.5,0,0,-0.6271929,0.03664769,-0.05000004,0,0,1
54,5.96032,-1,GazeBox,GazeBox,-0.1374541,0.03609703,-0.04999997,-0.5,0,0,-0.6374542,0.03609703,-0.04999997,0,0,1
55,6.072205,-1,GazeBox,GazeBox,-0.141795,0.04668612,-0.04999998,-0.5,0,0,-0.641795,0.04668612,-0.04999998,0,0,1
56,6.177963,-1,GazeBox,GazeBox,-0.1590474,0.06755191,-0.04999998,-0.5,0,0,-0.6590474,0.06755191,-0.04999998,0,0,1
57,6.291401,-1,GazeBox,GazeBox,-0.1793782,0.05184359,-0.04999998,-0.5,0,0,-0.6793783,0.05184359,-0.04999998,0,0,1
58,6.394249,-1,GazeBox,GazeBox,-0.2505825,0.05914633,-0.04999992,-0.5,0,0,-0.7505825,0.05914633,-0.04999992,0,0,1
59,6.498966,-1,GazeBox,GazeBox,-0.4020495,-0.03232272,-0.04999998,0,0,-0.5,-0.4020495,-0.03232272,-0.55,0,0,1
60,6.615898,-1,GazeBox,GazeBox,-0.219286,-0.03122045,-0.04999998,0,0,-0.5,-0.219286,-0.03122045,-0.55,0,0,1
61,6.734772,-1,GazeBox,GazeBox,-0.1011073,0.003123629,-0.04999998,0,0,-0.5,-0.1011073,0.003123629,-0.55,0,0,1
62,6.845562,-1,GazeBox,GazeBox,-0.046489,0.0422633,-0.05000004,0,0,-0.5,-0.046489,0.0422633,-0.5500001,0,0,1
63,6.949516,-1,GazeBox,GazeBox,-0.02182001,0.05267821,-0.04999998,0,0,-0.5,-0.02182001,0.05267821,-0.55,0,0,1
64,7.067936,-1,GazeBox,GazeBox,-0.01163035,0.04838289,-0.04999998,0,0,-0.5,-0.01163035,0.04838289,-0.55,0,0,1
65,7.177063,-1,GazeBox,GazeBox,0.004703598,0.04454371,-0.04999998,0,0,-0.5,0.004703598,0.04454371,-0.55,0,0,1
66,7.27948,-1,GazeBox,GazeBox,0.0252125,0.05662881,-0.04999998,0,0,-0.5,0.0252125,0.05662881,-0.55,0,0,1
67,7.387249,-1,GazeBox,GazeBox,0.02774217,0.04947756,-0.04999998,0,0,-0.5,0.02774217,0.04947756,-0.55,0,0,1
68,7.498512,-1,GazeBox,GazeBox,0.007021305,0.03979774,-0.04999998,0,0,-0.5,0.007021305,0.03979774,-0.55,0,0,1
69,7.613415,-1,GazeBox,GazeBox,-0.03095291,0.02106914,-0.04999998,0,0,-0.5,-0.03095291,0.02106914,-0.55,0,0,1
70,7.716576,-1,GazeBox,GazeBox,-0.05130513,0.02421837,-0.04999998,0,0,-0.5,-0.05130513,0.02421837,-0.55,0,0,1
71,7.828541,-1,GazeBox,GazeBox,-0.05105473,0.03176482,-0.04999998,0,0,-0.5,-0.05105473,0.03176482,-0.55,0,0,1
72,7.936783,-1,GazeBox,GazeBox,-0.05067566,0.03847348,-0.04999998,0,0,-0.5,-0.05067566,0.03847348,-0.55,0,0,1
73,8.039139,-1,GazeBox,GazeBox,-0.04733691,0.03941637,-0.04999998,0,0,-0.5,-0.04733691,0.03941637,-0.55,0,0,1
74,8.156322,-1,GazeBox,GazeBox,-0.05009003,0.05936542,-0.04999998,0,0,-0.5,-0.05009003,0.05936542,-0.55,0,0,1
75,8.256992,-1,GazeBox,GazeBox,-0.05622029,0.04889405,-0.04999998,0,0,-0.5,-0.05622029,0.04889405,-0.55,0,0,1
76,8.361355,-1,GazeBox,GazeBox,-0.06464637,0.04063965,-0.04999998,0,0,-0.5,-0.06464637,0.04063965,-0.55,0,0,1
77,8.468845,-1,GazeBox,GazeBox,-0.09631461,0.03259989,-0.04999998,0,0,-0.5,-0.09631461,0.03259989,-0.55,0,0,1
78,8.571949,-1,GazeBox,GazeBox,-0.1441069,0.007498694,-0.04999998,0,0,-0.5,-0.1441069,0.007498694,-0.55,0,0,1
